RCP26_ind,RCP26_land,RCP45_ind,RCP45_land,RCP60_ind,RCP60_land,RCP85_ind,RCP85_land
0.02184936,1.98169296,23.94257268,0.3101436,61.07893272,0.09304308,96.23609268,1.4348724
-0.17930406,1.98601884,22.86619842,0.27495,61.36290108,0.19327152,96.76542642,1.3971126
-0.38045748,1.99034472,21.78982416,0.2397564,61.64686944,0.29349996,97.29476016,1.3593528
-0.5816109,1.9946706,20.7134499,0.2045628,61.9308378,0.3937284,97.8240939,1.321593
-0.78276432,1.99899648,19.63707564,0.1693692,62.21480616,0.49395684,98.35342764,1.2838332
-0.98391774,2.00332236,18.56070138,0.1341756,62.49877452,0.59418528,98.88276138,1.2460734
-1.18507116,2.00764824,17.48432712,0.098982,62.78274288,0.69441372,99.41209512,1.2083136
-1.38622458,2.01197412,16.40795286,0.0637884,63.06671124,0.79464216,99.94142886,1.1705538
-1.587378,2.0163,15.3315786,0.0285948,63.3506796,0.8948706,100.4707626,1.132794
-1.74772884,2.03550984,15.33539124,0.03567018,62.2627941,0.89428404,100.81192056,1.090635
-1.90807968,2.05471968,15.33920388,0.04274556,61.1749086,0.89369748,101.15307852,1.048476
-2.06843052,2.07392952,15.34301652,0.04982094,60.0870231,0.89311092,101.49423648,1.006317
-2.22878136,2.09313936,15.34682916,0.05689632,58.9991376,0.89252436,101.83539444,0.964158
-2.3891322,2.1123492,15.3506418,0.0639717,57.9112521,0.8919378,102.1765524,0.921999
-2.54948304,2.13155904,15.35445444,0.07104708,56.8233666,0.89135124,102.51771036,0.87984
-2.70983388,2.15076888,15.35826708,0.07812246,55.7354811,0.89076468,102.85886832,0.837681
-2.87018472,2.16997872,15.36207972,0.08519784,54.6475956,0.89017812,103.20002628,0.795522
-3.03053556,2.18918856,15.36589236,0.09227322,53.5597101,0.88959156,103.54118424,0.753363
-3.1908864,2.2083984,15.369705,0.0993486,52.4718246,0.889005,103.8823422,0.711204
-3.21302904,2.17500114,15.3735543,0.10638732,52.26660192,0.86660574,104.03019198,0.6683118
-3.23517168,2.14160388,15.3774036,0.11342604,52.06137924,0.84420648,104.17804176,0.6254196
-3.25731432,2.10820662,15.3812529,0.12046476,51.85615656,0.82180722,104.32589154,0.5825274
-3.27945696,2.07480936,15.3851022,0.12750348,51.65093388,0.79940796,104.47374132,0.5396352
-3.3015996,2.0414121,15.3889515,0.1345422,51.4457112,0.7770087,104.6215911,0.496743
-3.32374224,2.00801484,15.3928008,0.14158092,51.24048852,0.75460944,104.76944088,0.4538508
